relation_id,case_id,head_event_id,tail_event_id,relation_type,relation_direction,relation_confidence,relation_evidence,is_gold_relation,is_disputed,dispute_note,annotation_status
HW_R01,CASE_HUAWEI_001,HW_E01,HW_E02,direct_causality,forward,0.95,The TGL was issued immediately after the Entity List action to partially restore limited categories of transactions.,True,False,,checked
HW_R02,CASE_HUAWEI_001,HW_E02,HW_E03,temporal_precedence,forward,0.9,The initial TGL was later extended in August 2019.,True,False,,checked
HW_R03,CASE_HUAWEI_001,HW_E03,HW_E04,temporal_precedence,forward,0.9,The August 2019 TGL extension was followed by another extension in November 2019.,True,False,,checked
HW_R04,CASE_HUAWEI_001,HW_E04,HW_E05,temporal_precedence,forward,0.9,The November 2019 TGL extension was followed by a February 2020 extension.,True,False,,checked
HW_R05,CASE_HUAWEI_001,HW_E05,HW_E06,temporal_precedence,forward,0.9,The February 2020 TGL extension was followed by a March 2020 extension.,True,False,,checked
HW_R06,CASE_HUAWEI_001,HW_E06,HW_E07,temporal_precedence,forward,0.9,"The March 2020 TGL extension was followed by the May 2020 extension through August 13, 2020.",True,False,,checked
HW_R07,CASE_HUAWEI_001,HW_E01,HW_E08,policy_escalation,forward,0.93,The May 2020 FDP rule tightened controls after the original Entity List step proved insufficient to block certain foreign-produced chip flows.,True,False,,checked
HW_R08,CASE_HUAWEI_001,HW_E07,HW_E10,policy_escalation,forward,0.92,The last TGL extension preceded the later August 2020 decision to remove the TGL and replace it with a narrower authorization.,True,False,,checked
HW_R09,CASE_HUAWEI_001,HW_E08,HW_E11,policy_escalation,forward,0.95,The August 2020 rule explicitly further tightened the Huawei FDP framework after the May 2020 version.,True,False,,checked
HW_R10,CASE_HUAWEI_001,HW_E01,HW_E09,policy_escalation,forward,0.9,BIS later expanded Huawei-related Entity List coverage to additional affiliates in August 2020.,True,False,,checked
HW_R11,CASE_HUAWEI_001,HW_E11,HW_E14,direct_causality,forward,0.96,The Seagate penalty was based on shipments to Huawei in violation of the Huawei FDP rule.,True,False,,checked
HW_R12,CASE_HUAWEI_001,HW_E12,HW_E13,direct_causality,forward,0.95,The FCC’s initial Covered List became the basis for the later ban on authorizing new covered equipment.,True,False,,checked
HW_R13,CASE_HUAWEI_001,HW_E01,HW_E12,impact_propagation,forward,0.78,Huawei’s national-security designation migrated from export controls into domestic U.S. communications restrictions.,False,False,Cross-agency linkage; grounded but not stated as a formal legal dependency.,checked
HW_R14,CASE_HUAWEI_001,HW_E09,HW_E12,impact_propagation,forward,0.7,Broader Huawei affiliate restrictions contributed to a wider risk profile that aligned with later FCC treatment.,False,False,Cross-regime policy linkage.,checked
HW_R15,CASE_HUAWEI_001,HW_E08,HW_E14,impact_propagation,forward,0.88,The Huawei-targeted FDP regime created the compliance environment later enforced through the Seagate action.,True,False,,checked
SM_R01,CASE_SMIC_001,SM_E01,SM_E02,impact_propagation,forward,0.84,The control focus widened from a firm-specific SMIC designation to a broader PRC advanced-node and fab capability control framework.,False,False,Sector-level continuation rather than explicit single-firm dependency.,checked
SM_R02,CASE_SMIC_001,SM_E02,SM_E04,policy_escalation,forward,0.93,The October 2023 SME rule updated and expanded the October 2022 semiconductor-manufacturing-item controls.,True,False,,checked
