path_id,query_id,case_id,path_event_sequence,path_relation_sequence,path_type,path_score_human,is_compact_path,covers_key_event,covers_turning_point,causal_consistency,temporal_consistency,path_note,split
HW_P01,Q_HW_01,CASE_HUAWEI_001,HW_E01,-,gold,0.95,True,True,True,high,high,Single-node path for immediate risk from the initial Entity List designation.,dev
HW_P02,Q_HW_02,CASE_HUAWEI_001,HW_E01->HW_E02,HW_R01,gold,0.93,True,True,True,high,high,Explains why a carve-out was created immediately after the Entity List action.,train
HW_P03,Q_HW_03,CASE_HUAWEI_001,HW_E02->HW_E03->HW_E04->HW_E05->HW_E06->HW_E07->HW_E10,HW_R02->HW_R03->HW_R04->HW_R05->HW_R06->HW_R08,gold,0.9,False,False,False,medium,high,Timeline path showing the TGL issuance-extension-removal cycle.,dev
HW_P04,Q_HW_04,CASE_HUAWEI_001,HW_E01->HW_E08,HW_R07,gold,0.94,True,True,True,high,high,Shows escalation from the original Entity List designation to the Huawei-specific FDP rule.,train
HW_P05,Q_HW_05,CASE_HUAWEI_001,HW_E08->HW_E11,HW_R09,gold,0.94,True,True,True,high,high,Captures how the August 2020 rule tightened the May 2020 Huawei FDP rule.,test
HW_P06,Q_HW_06,CASE_HUAWEI_001,HW_E11->HW_E14,HW_R11,gold,0.96,True,True,False,high,high,Links Huawei FDP tightening to a later third-party enforcement action.,train
HW_P07,Q_HW_07,CASE_HUAWEI_001,HW_E12->HW_E13,HW_R12,gold,0.95,True,True,True,high,high,Captures the FCC Covered List to authorization-ban escalation.,train
HW_P08,Q_HW_08,CASE_HUAWEI_001,HW_E07->HW_E10,HW_R08,silver,0.82,True,True,False,medium,high,Counterfactual-oriented path on TGL continuation versus removal.,train
SM_P01,Q_SM_01,CASE_SMIC_001,SM_E01,-,gold,0.95,True,True,True,high,high,Single-node path for the immediate consequence of the SMIC Entity List action.,test
SM_P02,Q_SM_02,CASE_SMIC_001,SM_E01->SM_E02,SM_R01,silver,0.8,True,True,True,medium,high,Shows the shift from firm-specific restrictions to sector-wide semiconductor controls.,dev
SM_P03,Q_SM_03,CASE_SMIC_001,SM_E01->SM_E02->SM_E04,SM_R01->SM_R02,gold,0.89,True,True,True,high,high,Explains how the 2022 and 2023 rules amplify risk beyond the original SMIC listing.,train
SM_P04,Q_SM_04,CASE_SMIC_001,SM_E02->SM_E04->SM_E05,SM_R02->SM_R03,gold,0.9,False,True,False,medium,high,Shows the two-branch October 2023 update package built on the 2022 framework.,train
SM_P05,Q_SM_05,CASE_SMIC_001,SM_E04->SM_E06,SM_R04,gold,0.91,True,True,False,high,high,Shows why even a correction rule matters to compliance implementation.,train
SM_P06,Q_SM_06,CASE_SMIC_001,SM_E04->SM_E07,SM_R06,silver,0.78,True,True,True,medium,high,Links 2023 semiconductor-manufacturing controls to the December 2024 scale-up.,train
SM_P07,Q_SM_07,CASE_SMIC_001,SM_E01->SM_E02->SM_E04->SM_E07,SM_R01->SM_R02->SM_R06,silver,0.76,False,True,True,medium,high,Counterfactual path about whether ecosystem-wide risk would be lower without later sector rules.,dev
SM_P08,Q_SM_08,CASE_SMIC_001,SM_E01->SM_E02->SM_E04->SM_E05->SM_E07,SM_R01->SM_R02->SM_R03->SM_R07,gold,0.88,False,True,True,high,high,Captures the progression from single-company restriction to ecosystem-wide tightening.,train
ADV_P01,Q_ADV_01,CASE_ADVCTRL_001,ADV_E01,-,gold,0.95,True,True,True,high,high,Single-node path for the October 2022 control-architecture shift.,train
ADV_P02,Q_ADV_02,CASE_ADVCTRL_001,ADV_E02,-,gold,0.94,True,False,True,high,high,Single-node path for why UVL risk arose in October 2022.,train
ADV_P03,Q_ADV_03,CASE_ADVCTRL_001,ADV_E02->ADV_E03,ADV_R02,gold,0.96,True,True,True,high,high,Shows escalation from UVL verification problems to Entity List restrictions.,train
ADV_P04,Q_ADV_04,CASE_ADVCTRL_001,ADV_E01->ADV_E04->ADV_E05,ADV_R04->ADV_R05,gold,0.89,False,True,False,medium,high,Shows how the October 2023 package updated the October 2022 control framework.,train
ADV_P05,Q_ADV_05,CASE_ADVCTRL_001,ADV_E05->ADV_E06,ADV_R07,gold,0.9,True,True,False,high,high,Explains why April 2024 clarifications matter to ongoing compliance risk.,train
ADV_P06,Q_ADV_06,CASE_ADVCTRL_001,ADV_E05->ADV_E07,ADV_R08,silver,0.77,True,True,False,medium,high,Links export-control logic to federal procurement restrictions.,train
ADV_P07,Q_ADV_07,CASE_ADVCTRL_001,ADV_E03->ADV_E08,ADV_R12,gold,0.92,True,True,True,high,high,Shows ecosystem-level escalation from 2022 Entity List action to the 2024 140-entity wave.,train
ADV_P08,Q_ADV_08,CASE_ADVCTRL_001,ADV_E02->ADV_E03,ADV_R02,silver,0.84,True,True,True,medium,high,Counterfactual path asking whether risk would be lower without UVL-to-Entity-List escalation.,train
ADV_P09,Q_ADV_09,CASE_ADVCTRL_001,ADV_E08->ADV_E09,ADV_R14,silver,0.91,True,True,False,high,high,Shows that the December 2024 package combined entity-list growth with a companion technical-control rule.,train
ADV_P10,Q_ADV_10,CASE_ADVCTRL_001,ADV_E05->ADV_E09,ADV_R13,silver,0.9,True,True,False,high,high,Links the October 2023 advanced-computing architecture to the December 2024 HBM/FDP refinements.,dev
YMTC_P01,Q_YM_01,CASE_YMTC_001,YMTC_E01,-,gold,0.94,True,True,True,high,high,Single-node path for the initial UVL-based verification-risk signal.,dev
YMTC_P02,Q_YM_02,CASE_YMTC_001,YMTC_E01->YMTC_E02,YMTC_R01,gold,0.97,True,True,True,high,high,Direct escalation from UVL status to the Entity List.,train
