query_id,case_id,query_text,query_type,time_scope,target_actor,target_risk_dimension,gold_answer,gold_rationale,gold_uncertainty_label,gold_path_id,difficulty_level,split,annotation_status
Q_HW_01,CASE_HUAWEI_001,What immediate compliance change did the May 2019 Entity List action create for Huawei transactions?,risk_identification,2019-05,Huawei,technology_access_risk,"The May 2019 Entity List action made most exports, reexports, and in-country transfers of items subject to the EAR to Huawei require a BIS license under a presumption-of-denial posture.","The initial risk comes directly from the Entity List designation itself, which converted Huawei-related transactions into licensed transactions and set the baseline for later tightening.",certain,HW_P01,easy,dev,checked
Q_HW_02,CASE_HUAWEI_001,Why did BIS issue a Temporary General License immediately after placing Huawei on the Entity List?,cause_tracing,2019-05 to 2019-08,Huawei,supply_chain_disruption_risk,"BIS issued the TGL to partially restore a narrow set of transactions needed for existing networks, handsets, cybersecurity research, and related continuity needs after the Entity List action.",The answer requires connecting the initial Entity List action to the immediate carve-out created by the TGL.,certain,HW_P02,easy,train,checked
Q_HW_03,CASE_HUAWEI_001,How did the Huawei Temporary General License evolve between May 2019 and August 2020?,timeline_reasoning,2019-05 to 2020-08,Huawei,supply_chain_disruption_risk,"The TGL was created in May 2019, repeatedly extended through August 13, 2020, and then removed in August 2020 and replaced with a more limited authorization.",This is a timeline-compression question over the issue-extend-extend-remove sequence.,certain,HW_P03,medium,dev,checked
Q_HW_04,CASE_HUAWEI_001,Why was the May 2020 Huawei FDP rule more restrictive than the original 2019 Entity List action?,policy_escalation_reasoning,2019-05 to 2020-05,Huawei,technology_access_risk,"Because the May 2020 rule extended controls to certain foreign-produced items made with U.S. technology or software when destined to Huawei, it tightened access beyond the original direct Entity List restriction.",The escalation comes from extending U.S. control reach to additional foreign-produced semiconductor-related items.,certain,HW_P04,medium,train,checked
Q_HW_05,CASE_HUAWEI_001,How did the August 2020 Huawei rule further tighten the May 2020 chip restrictions?,policy_escalation_reasoning,2020-05 to 2020-08,Huawei,technology_access_risk,"The August 2020 rule broadened the Huawei FDP framework, added more affiliates, and closed loopholes by capturing additional foreign-produced items when Huawei was involved as a party.",The key step is the escalation from the May 2020 Huawei-targeted FDP rule to the August 2020 expanded version.,certain,HW_P05,hard,test,checked
Q_HW_06,CASE_HUAWEI_001,What downstream compliance risk did the August 2020 Huawei FDP expansion create for component suppliers?,impact_analysis,2020-08 to 2023-04,Huawei,compliance_enforcement_risk,"It created a real risk that third-party suppliers could be penalized for continuing Huawei-related shipments, as later illustrated by the BIS Seagate enforcement action.",The path is not just policy text; it is validated by later enforcement.,certain,HW_P06,hard,test,checked
Q_HW_07,CASE_HUAWEI_001,What U.S. domestic market-access consequence followed Huawei’s inclusion on the FCC Covered List?,impact_analysis,2021-03 to 2022-11,Huawei,market_access_risk,"Huawei’s inclusion on the FCC Covered List was followed by the FCC’s ban on authorizing new covered Huawei equipment, limiting new U.S. market access.",The risk moves from export controls into communications-market access restrictions.,certain,HW_P07,medium,train,checked
Q_HW_08,CASE_HUAWEI_001,"If the Huawei TGL had continued beyond August 2020, would Huawei-related operational risk have stayed the same?",counterfactual_risk,2020-05 to 2020-08,Huawei,supply_chain_disruption_risk,"Probably not. Continued TGL coverage would likely have reduced near-term operational disruption for some legacy support transactions, whereas the August 2020 rule replaced the TGL with a narrower authorization.",This is a counterfactual inference grounded in the observed shift from repeated extensions to formal removal of the TGL.,partially_supported,HW_P08,hard,test,checked
Q_SM_01,CASE_SMIC_001,What was the primary technology-access consequence of adding SMIC to the Entity List in December 2020?,risk_identification,2020-12,SMIC,technology_access_risk,"SMIC’s designation made U.S.-regulated technology subject to licensing, and items uniquely required to produce semiconductors at 10nm and below faced a presumption of denial.",The answer is anchored directly in the Entity List rule for SMIC.,certain,SM_P01,easy,test,checked
Q_SM_02,CASE_SMIC_001,Why does the SMIC case suggest a shift from firm-specific restrictions to sector-wide semiconductor controls?,cause_tracing,2020-12 to 2022-10,SMIC,technology_access_risk,"Because after SMIC was listed as a specific company in 2020, BIS moved in 2022 toward broad advanced-computing and semiconductor-manufacturing controls affecting PRC fab capability more generally.",The shift is from a named-firm Entity List action to technology- and end-use-based sector controls.,certain,SM_P02,medium,dev,checked
Q_SM_03,CASE_SMIC_001,How did the 2022 advanced-computing rule amplify risk beyond the original SMIC listing?,policy_escalation_reasoning,2020-12 to 2023-10,SMIC,technology_access_risk,"It broadened the risk from one firm’s licensing burden to a wider fab and advanced-node control architecture that could affect manufacturing tools, end uses, and ecosystem participants.",The path shows escalation from SMIC-specific listing to later sector-wide tightening and updates.,certain,SM_P03,hard,train,checked
Q_SM_04,CASE_SMIC_001,Which 2023 rules updated the October 2022 semiconductor-control framework?,timeline_reasoning,2022-10 to 2023-10,SMIC,technology_access_risk,The October 2023 package updated the framework through two main rules: the SME interim final rule and the AC/S interim final rule.,This asks for identification of the two-branch October 2023 update package built on the 2022 base.,certain,SM_P04,easy,train,checked
Q_SM_05,CASE_SMIC_001,Why does the April 2024 correction rule still matter for compliance risk in the SMIC-related semiconductor chain?,impact_analysis,2023-10 to 2024-04,SMIC,compliance_enforcement_risk,"Because corrections and clarifications can change how firms interpret scope, thresholds, and obligations, which directly affects screening and licensing decisions.",The compliance burden can rise even when a document is framed as a correction rather than a new flagship restriction.,certain,SM_P05,medium,train,checked
Q_SM_06,CASE_SMIC_001,Why does the December 2024 140-entity action represent another escalation for PRC fabs and equipment ecosystems?,policy_escalation_reasoning,2023-10 to 2024-12,SMIC,supply_chain_disruption_risk,"Because it widened entity-level restrictions across the semiconductor ecosystem, deepening screening and licensing burdens beyond the earlier 2023 manufacturing-item controls.",The escalation logic is ecosystem-wide rather than SMIC-only.,certain,SM_P06,hard,train,checked
Q_SM_07,CASE_SMIC_001,"If only SMIC had remained listed but later sector-wide rules had not been updated, would advanced-node risk likely have been lower?",counterfactual_risk,2020-12 to 2024-12,SMIC,technology_access_risk,"Likely yes. Firm-specific controls alone would have been narrower than the later combination of sector-wide fab, advanced-computing, and ecosystem entity restrictions.",This is a counterfactual comparison between a single-company restriction model and a later ecosystem-control model.,partially_supported,SM_P07,hard,dev,checked
Q_SM_08,CASE_SMIC_001,How did later BIS rules shift the semiconductor-control story from a single-company licensing issue to ecosystem-wide restriction risk?,impact_analysis,2020-12 to 2024-12,SMIC,supply_chain_disruption_risk,"The story shifted as BIS moved from the 2020 SMIC Entity List action to the 2022–2024 sequence of advanced-computing, semiconductor-manufacturing, correction, and 140-entity actions affecting a much broader network.",The gold path intentionally spans multiple rule types to show ecosystem expansion.,certain,SM_P08,hard,train,checked
Q_ADV_01,CASE_ADVCTRL_001,What new control logic was introduced by the October 2022 advanced-computing rule?,risk_identification,2022-10,BIS / PRC advanced-computing ecosystem,technology_access_risk,"The October 2022 rule introduced a broader control architecture tied to advanced-computing items, semiconductor-manufacturing items, supercomputer end uses, and related Entity List modifications for China.",The key is that the rule is not just entity-specific; it changes the governing control logic.,certain,ADV_P01,easy,train,checked
Q_ADV_02,CASE_ADVCTRL_001,Why were 31 PRC entities added to the UVL in October 2022?,cause_tracing,2022-10,PRC entities,compliance_enforcement_risk,"Because BIS could not complete the required end-use checks satisfactorily for reasons outside the U.S. government’s control, creating a verification-based compliance risk.",This is a direct question about the trigger for UVL treatment.,certain,ADV_P02,easy,train,checked
Q_ADV_03,CASE_ADVCTRL_001,How did the December 2022 Entity List rule escalate the October 2022 UVL action?,policy_escalation_reasoning,2022-10 to 2022-12,PRC chip ecosystem,compliance_enforcement_risk,It escalated part of the ecosystem from enhanced due diligence and verification concerns under the UVL to formal Entity List restrictions with stricter licensing consequences.,The answer depends on recognizing UVL-to-Entity-List escalation rather than treating both actions as equivalent.,certain,ADV_P03,medium,train,checked
