event_id,case_id,source_id,event_date,date_granularity,event_title,event_summary,event_type,policy_action_type,actor,target_entity,third_party_entity,tech_domain,risk_dimension,direct_impact,indirect_impact,evidence_span,is_key_event,is_turning_point,event_confidence,annotation_status,annotator,reviewer
HW_E01,CASE_HUAWEI_001,SRC_HW_20190521_EL,2019-05-21 00:00:00,day,Huawei and 68 non-U.S. affiliates added to the Entity List,"BIS placed Huawei and 68 non-U.S. affiliates on the Entity List, imposing license requirements for items subject to the EAR and signaling a presumption-of-denial posture.",entity_list_addition,entity_list_addition,BIS / ERC,Huawei,,telecom,technology_access_risk,"Most exports, reexports, and transfers of items subject to the EAR to Huawei required a BIS license.",Raises immediate compliance risk and creates a base node for later escalation.,"Huawei and sixty-eight non-U.S. affiliates of Huawei raise sufficient concern that prior review of exports, reexports, or transfers will enhance BIS’s ability to prevent activities contrary to U.S. interests.",True,True,0.99,checked,,
HW_E02,CASE_HUAWEI_001,SRC_HW_20190522_TGL,2019-05-22 00:00:00,day,Initial Huawei Temporary General License issued,BIS created a 90-day temporary general license allowing limited categories of transactions involving the newly listed Huawei entities.,export_control_rule,license_restriction,BIS,Huawei,,telecom,supply_chain_disruption_risk,"Provides a narrow operational carve-out for legacy networks, existing handsets, cybersecurity research, and standards maintenance.",Temporarily lowers immediate disruption risk while preserving the main Entity List restriction.,"This final rule creates a 90-day temporary general license that partially restores the licensing requirements and policies under the EAR for exports, reexports, and transfers to sixty-nine entities added on May 16, 2019.",False,False,0.98,checked,,
HW_E03,CASE_HUAWEI_001,SRC_HW_20190821_TGL,2019-08-21 00:00:00,day,"Huawei TGL extended through November 18, 2019","BIS extended the Huawei TGL through November 18, 2019 while revising and clarifying authorized transactions.",export_control_rule,license_restriction,BIS,Huawei,,telecom,supply_chain_disruption_risk,Keeps limited operational continuity for already-authorized legacy support activities.,Signals that the carve-out is temporary and subject to continued review.,"The U.S. Government has decided to extend the temporary general license through November 18, 2019.",False,False,0.98,checked,,
HW_E04,CASE_HUAWEI_001,SRC_HW_20191120_TGL,2019-11-20 00:00:00,day,"Huawei TGL extended through February 16, 2020","BIS again extended the Huawei TGL, this time through February 16, 2020.",export_control_rule,license_restriction,BIS,Huawei,,telecom,supply_chain_disruption_risk,Preserves limited continuity for existing network and handset support activities.,Extends but does not normalize Huawei transaction risk.,"The U.S. Government has decided to extend through February 16, 2020, the temporary general license to Huawei and one hundred and fourteen of its non-U.S. affiliates.",False,False,0.98,checked,,
HW_E05,CASE_HUAWEI_001,SRC_HW_20200218_TGL,2020-02-18 00:00:00,day,"Huawei TGL extended through April 1, 2020","BIS extended the Huawei TGL through April 1, 2020.",export_control_rule,license_restriction,BIS,Huawei,,telecom,supply_chain_disruption_risk,Maintains temporary support channels for legacy operations.,Keeps firms in a short-cycle renewal environment.,"The U.S. Government has decided to extend through April 1, 2020, the temporary general license to Huawei and one hundred and fourteen of its non-U.S. affiliates.",False,False,0.98,checked,,
HW_E06,CASE_HUAWEI_001,SRC_HW_20200312_TGL,2020-03-12 00:00:00,day,"Huawei TGL extended through May 15, 2020","BIS extended the Huawei TGL through May 15, 2020.",export_control_rule,license_restriction,BIS,Huawei,,telecom,supply_chain_disruption_risk,Extends temporary support for existing networks and mobile services.,Leaves counterparties exposed to a still-uncertain policy horizon.,"The U.S. Government has decided to extend through May 15, 2020, the temporary general license to Huawei and one hundred and fourteen of its non-U.S. affiliates.",False,False,0.98,checked,,
HW_E07,CASE_HUAWEI_001,SRC_HW_20200518_TGL,2020-05-18 00:00:00,day,"Huawei TGL extended through August 13, 2020","BIS extended the Huawei TGL through August 13, 2020 and signaled that covered activities might later be revised or removed.",export_control_rule,license_restriction,BIS,Huawei,,telecom,supply_chain_disruption_risk,Extends limited continuity one last time for legacy support channels.,Creates a visible transition point before later TGL removal.,"This final rule revises the temporary general license to remove the expiration date of May 15, 2020, and substitutes the date of August 13, 2020.",False,False,0.98,checked,,
HW_E08,CASE_HUAWEI_001,SRC_HW_20200519_FDP,2020-05-19 00:00:00,day,Huawei-targeted FDP rule introduced,BIS amended General Prohibition Three to capture certain foreign-produced items made with U.S. technology or software when destined to Huawei or other footnote 1 entities.,export_control_rule,fdp_rule_update,BIS,Huawei,,semiconductor,technology_access_risk,Extends U.S. jurisdictional reach to certain foreign-produced semiconductor-related items for Huawei transactions.,Raises non-U.S. foundry and supplier exposure in Huawei-related transactions.,This rule amends General Prohibition Three by adding a new control over certain foreign-produced items when there is knowledge that such items are destined to a designated entity with a footnote 1 designation on the Entity List.,True,True,0.99,checked,,
HW_E09,CASE_HUAWEI_001,SRC_HW_20200820_RULE,2020-08-20 00:00:00,day,Thirty-eight additional Huawei affiliates added to the Entity List,BIS added 38 more non-U.S. Huawei affiliates to the Entity List and revised several existing Huawei entries.,entity_list_addition,entity_list_addition,BIS / ERC,Huawei affiliates,,telecom,technology_access_risk,Expands the set of Huawei-linked parties subject to licensing requirements.,Widens compliance screening and affiliate-level exposure for counterparties.,"First, BIS is adding thirty-eight additional non-U.S. affiliates of Huawei to the Entity List because they also pose a significant risk of involvement in activities contrary to U.S. interests.",True,False,0.99,checked,,
HW_E10,CASE_HUAWEI_001,SRC_HW_20200820_RULE,2020-08-20 00:00:00,day,Huawei TGL removed and replaced by a more limited authorization,BIS terminated the broad Huawei TGL and replaced it with a narrower permanent authorization.,export_control_rule,license_restriction,BIS,Huawei,,telecom,supply_chain_disruption_risk,Removes the main broad temporary carve-out that had supported limited legacy transactions.,Sharpens operational disruption risk for firms that had relied on the TGL.,"Second, this rule removes a temporary general license for Huawei and its non-U.S. affiliates and replaces those provisions with a more limited permanent authorization.",True,False,0.99,checked,,
