idx,group,method,question,gold_anchor,pred_anchor,gold_order,pred_order,references,raw_output,temporal_order_accuracy,anchor_accuracy,support_reordering_accuracy
1628,reversed_hard,Standard RAG,在19年，‘肯尼迪’号航母退役、《南华早报》对中国文化现象的报道、中国选送电影《哪吒之魔童降世》参加奥斯卡和国际天文学联合会的发现，哪个事件最早发生？,1,0,"[1, 2, 3, 0]","[0, 1, 2, 3]",,,0.5000,0.0000,0.0000
1628,reversed_hard,TemporalSort,在19年，‘肯尼迪’号航母退役、《南华早报》对中国文化现象的报道、中国选送电影《哪吒之魔童降世》参加奥斯卡和国际天文学联合会的发现，哪个事件最早发生？,1,1,"[1, 2, 3, 0]","[1, 0, 2, 3]",,,0.6667,1.0000,0.0000
1628,reversed_hard,E$^2$RAG (reimpl.),在19年，‘肯尼迪’号航母退役、《南华早报》对中国文化现象的报道、中国选送电影《哪吒之魔童降世》参加奥斯卡和国际天文学联合会的发现，哪个事件最早发生？,1,1,"[1, 2, 3, 0]","[1, 2, 0, 3]",,,0.8333,1.0000,0.0000
1628,reversed_hard,Ours,在19年，‘肯尼迪’号航母退役、《南华早报》对中国文化现象的报道、中国选送电影《哪吒之魔童降世》参加奥斯卡和国际天文学联合会的发现，哪个事件最早发生？,1,1,"[1, 2, 3, 0]","[1, 2, 0, 3]",,,0.8333,1.0000,0.0000
2622,reversed_hard,Standard RAG,以下四个事件：北京普思投资有限公司达成赔偿协议、中国邮政储蓄银行A股IPO网下申购缴款、韩国政府决定废弃《军事情报保护协定》、国家电网向社会资本开放特高压建设投资，哪一个事件最早发生？,3,0,"[3, 2, 1, 0]","[0, 1, 2, 3]",,,0.0000,0.0000,0.0000
2622,reversed_hard,TemporalSort,以下四个事件：北京普思投资有限公司达成赔偿协议、中国邮政储蓄银行A股IPO网下申购缴款、韩国政府决定废弃《军事情报保护协定》、国家电网向社会资本开放特高压建设投资，哪一个事件最早发生？,3,3,"[3, 2, 1, 0]","[3, 0, 1, 2]",,,0.5000,1.0000,0.0000
2622,reversed_hard,E$^2$RAG (reimpl.),以下四个事件：北京普思投资有限公司达成赔偿协议、中国邮政储蓄银行A股IPO网下申购缴款、韩国政府决定废弃《军事情报保护协定》、国家电网向社会资本开放特高压建设投资，哪一个事件最早发生？,3,3,"[3, 2, 1, 0]","[3, 2, 1, 0]",,,1.0000,1.0000,1.0000
2622,reversed_hard,Ours,以下四个事件：北京普思投资有限公司达成赔偿协议、中国邮政储蓄银行A股IPO网下申购缴款、韩国政府决定废弃《军事情报保护协定》、国家电网向社会资本开放特高压建设投资，哪一个事件最早发生？,3,3,"[3, 2, 1, 0]","[3, 2, 1, 0]",,,1.0000,1.0000,1.0000
25,reversed_hard,Standard RAG,苹果公司宣布Apple Card信用卡政策、良渚古城遗址列入《世界遗产名录》、iPhone 12系列推出，哪个事件发生得最早？,1,0,"[1, 0, 2]","[0, 1, 2]",,,0.6667,0.0000,0.0000
25,reversed_hard,TemporalSort,苹果公司宣布Apple Card信用卡政策、良渚古城遗址列入《世界遗产名录》、iPhone 12系列推出，哪个事件发生得最早？,1,0,"[1, 0, 2]","[0, 1, 2]",,,0.6667,0.0000,0.0000
